X,F
21.2,0.014302741358760432
41.4,0.027651966626936832
61.599999999999994,0.04028605482717521
81.8,0.04791418355184744
102.0,0.05625744934445769
122.2,0.06579261025029798
142.39999999999998,0.07604290822407629
162.6,0.0862932061978546
182.79999999999998,0.0958283671036949
202.99999999999997,0.10417163289630516
223.2,0.11442193087008347
243.39999999999998,0.12133492252681768
263.59999999999997,0.12943980929678192
283.79999999999995,0.14064362336114425
304.0,0.15351609058402862
324.2,0.16781883194278907
344.4,0.17783075089392136
364.59999999999997,0.19046483909415973
384.79999999999995,0.19904648390941598
405.0,0.21048867699642432
425.2,0.21930870083432658
445.4,0.2307508939213349
465.59999999999997,0.24338498212157328
485.79999999999995,0.2541120381406436
505.99999999999994,0.2650774731823599
526.2,0.2786650774731823
546.4,0.29344457687723474
566.6,0.3096543504171632
586.8000000000001,0.32467222884386165
607.0,0.3406436233611441
627.2,0.35923718712753266
647.4,0.3773539928486292
667.6,0.39666269368295576
687.8000000000001,0.4126340882002382
708.0,0.43671036948748493
728.2,0.4624553039332537
748.4,0.48462455303933233
768.6,0.5160905840286053
788.8000000000001,0.5513706793802143
809.0,0.5902264600715135
829.2,0.6326579261025027
849.4,0.6831942789034562
869.6,0.7349225268176397
889.8000000000001,0.7847437425506552
910.0,0.8359952324195467
930.2,0.8872467222884381
950.4,0.9346841477949935
970.6,0.9740166865315847
990.8,0.9947556615017873
1011.0,0.9999999999999994
